,mean,min,max
258,0.0003607333,-0.96889335,0.5819927
259,-0.00014233816,-0.798826,0.5013918
260,-0.0005614896,-1.1950617,0.6458596
261,-0.00039117094,-0.57827866,0.65391
262,1.82358e-07,-0.80358267,0.41967988
263,-4.4413926e-05,-0.6804164,0.5640397
264,0.0016981387,-1.161955,1.1177834
265,-0.00031644996,-0.83687466,0.6480762
266,0.00017999767,-0.963458,1.1991497
267,0.0019798754,-1.040581,1.3842249
268,0.0014282963,-1.4979451,1.4810926
269,0.000374124,-0.8711977,0.7293252
270,-0.0006399742,-0.75730175,0.5823067
271,-0.00047120973,-0.8419478,0.6194001
272,1.7520768e-05,-1.1540246,0.6730137
273,-0.0012365939,-0.8872558,0.61643505
274,0.00068485347,-0.91897285,0.80607307
275,-0.00070810394,-0.9303665,0.7645912
276,0.0006949188,-1.0274441,0.68285894
277,0.0003471141,-0.8104358,0.681494
278,-0.0010944048,-0.7037828,0.71151215
279,4.975377e-05,-1.2863634,0.69832397
280,-8.034706e-05,-0.99810064,0.66053915
281,-0.0012874589,-0.9396559,0.5840377
282,-0.00024250495,-1.1771895,0.72866863
283,4.3725013e-05,-0.71905714,0.49477944
284,-0.00026237572,-0.82178855,0.64790225
285,-0.0002315069,-1.0065302,0.5225547
286,-0.00039314022,-1.5465162,1.6411091
287,-0.00040989707,-1.142537,2.024183
288,-1.9281571e-05,-1.3608844,2.1651642
289,6.41401e-05,-3.1182618,2.3284628
290,-0.0018426835,-2.3372447,1.8834988
291,0.00018686499,-1.8085586,1.4565061
292,0.0007544878,-2.6065657,0.8130628
293,0.00040033748,-2.5326724,1.1120126
294,-0.0011723314,-3.1222231,1.0790691
295,-0.0009821736,-2.4253087,0.6974314
296,-0.0008809985,-2.4712749,0.85995436
297,-0.00046678729,-0.9902231,0.60671467
298,0.000432736,-0.96133304,0.5124755
299,-7.465004e-05,-1.0644308,1.4438725
300,0.002226869,-0.6966519,0.95201945
301,0.0008225382,-0.6847186,0.829594
302,0.0016893885,-1.079442,0.5364001
303,-0.00026302124,-3.3867645,1.0813017
304,-0.001695844,-3.0903537,0.8406373
305,-0.001295022,-2.5154672,0.837861
306,-0.000886213,-3.2608805,1.7313237
307,9.56529e-05,-3.1005566,2.236422
308,-0.0022523312,-2.7037396,1.7620919
309,-0.001989571,-2.5262303,1.6335317
310,0.000552271,-2.773645,1.7841036
311,-0.00031773563,-2.2015114,1.2337351
312,-0.00078127213,-1.987755,1.5549709
313,0.0004970414,-1.1900977,0.7799919
314,-0.0011287612,-1.5175245,0.8854883
