,mean,min,max
459,5.664545,0.2925855,1275.7637
460,5.129136,0.2844575,1209.8514
461,4.868296,0.2704937,1222.4946
462,4.6402054,0.25128597,1137.4359
463,2.605407,0.26202378,153.0567
464,4.148222,0.11622341,1175.7178
465,5.977704,0.25047278,1114.9463
466,6.1800814,0.2245903,1020.38873
467,5.758735,0.21691263,1027.0796
468,8.87546,0.20322989,1374.258
469,9.204704,0.25303763,1176.7128
470,6.8320885,0.19623378,1214.983
471,6.5547285,0.20365615,1178.4816
472,7.197501,0.28071374,1039.0485
473,5.2568846,0.20773768,941.3552
474,3.5085626,0.23018947,813.969
475,3.633113,0.16503967,758.80255
476,3.7918615,0.15816791,836.3105
477,4.076474,0.20017584,825.8069
478,3.7969856,0.15289769,858.6232
479,4.8875213,0.18290593,788.4856
480,6.038415,0.17193857,778.1462
481,5.5469904,0.1949303,759.2933
482,4.0515003,0.22786088,796.3919
483,5.1540885,0.16214219,877.9258
484,3.9141657,0.18027896,815.24084
485,2.1092904,0.15971397,259.78552
486,1.8062905,0.20163098,126.34993
487,1.9793351,0.16181314,100.46391
488,1.8275394,0.19273484,68.835556
489,1.6431046,0.119085215,48.070553
490,1.5180168,0.17206809,53.840427
491,1.3347528,0.1542471,60.93277
492,1.152946,0.12270696,51.088917
493,3.2321286,0.093137264,1253.0677
494,3.0727296,0.12709236,1113.9014
495,3.1425953,0.148012,1095.0066
496,3.1997073,0.15086818,1125.8019
497,4.082409,0.14835668,1145.8796
498,2.295202,0.1343887,144.90488
499,3.4684155,0.16439292,349.56732
